word,meaning,category
ideal,이상적인,toeic
preserve,보존하다,toeic
aid,원조,toeic
excessive,지나친,toeic
intensively,집중적으로,toeic
vary,다르다,toeic
pleasing,즐거운,toeic
mark,점수,toeic
inaccessible,접근이 불가능한,toeic
disturb,방해하다,toeic
pollutant,오염물질,toeic
emission,배기가스,toeic
dense,빽빽한,toeic
environmental,환경적인,toeic
consistent,일치하는,toeic
leak,누출,toeic
organization,단체,toeic
continually,계속해서,toeic
contaminate,오염시키다,toeic
disaster,재난,toeic
discharge,방출하다,toeic
resource,자원,toeic
prominent,유명한,toeic
deplete,고갈시키다,toeic
purify,정화시키다,toeic
endangered,멸종 위기에 처한,toeic
extinction,멸종,toeic
drought,가뭄,toeic
inflict,입히다,toeic
migration,이동,toeic
ecology,생태,toeic
habitat,서식지,toeic
fatigue,피로,toeic
checkup,건강 진단,toeic
symptom,증상,toeic
physician,내과의사,toeic
diagnosis,진단,toeic
prescribe,처방하다,toeic
recovery,회복,toeic
recognize,인정하다,toeic
join,~에 가입하다,toeic
comprehensive,종합적인,toeic
participate,참여하다,toeic
recommend,권고하다,toeic
necessary,필요한,toeic
ability,능력,toeic
operation,수술,toeic
cleanliness,청결,toeic
duration,지속 기간,toeic
examination,진찰,toeic
eliminate,제거하다,toeic
easily,쉽게,toeic
dental,치과의,toeic
dietary,식이 요법의,toeic
related,관련된,toeic
transmit,전염시키다,toeic
periodically,주기적으로,toeic
reaction,반응,toeic
simple,단순한,toeic
coverage,보도,toeic
exposure,노출,toeic
pharmaceutical,제약의,toeic
premium,보험료,toeic
relieve,완화시키다,toeic
combination,결합,toeic
conscious,알고 있는,toeic
deprivation,박탈,toeic
health,건강; 번영,toeic
induce,유발하다 ,toeic
insurance,보험,toeic
nutrition,영양,toeic
prevention,예방,toeic
susceptible,~에 감염되기 쉬운,toeic
abate,줄이다,toefl
abridge,단축하다,toefl
abstemious,절제하는,toefl
abstruse,난해한,toefl
accolade,명예,toefl
acquiesce,묵인하다,toefl
acrid,매운,toefl
acrimonious,신랄한,toefl
acute,격렬한,toefl
adulation,추종,toefl
adversary,적,toefl
aesthetic (adj),미의,toefl
aesthetic (n),미의식,toefl
affable,붙임성 있는,toefl
affectation,가장,toefl
affirmation,확언,toefl
aggregate,집합,toefl
aloof,냉담한,toefl
altruistic,이타적인,toefl
amass,쌓다,toefl
ambivalence,상반되는 감정,toefl
ambivalent,상반되는 감정을 가진,toefl
ambulatory,보행의,toefl
ameliorate,개선하다,toefl
amiable,붙임성 있는,toefl
amity,우호,toefl
amorphous,무정형의,toefl
ample,광대한,toefl
anachronistic,시대에 맞지 않는,toefl
analogous,유사한,toefl
anarchist,무정부주의자,toefl
anarchy,무정부 상태,toefl
anecdote,일화,toefl
animated,생기가 있는,toefl
animosity,원한,toefl
anomaly,변칙,toefl
antagonism,반대,toefl
antediluvian,노아의 홍수 이전의,toefl
antidote,해독제,toefl
antipathy,반감,toefl
antiquated,낡은,toefl
anxiety,걱정,toefl
apathy,무감동,toefl
apocryphal,저작자가  의심스러운,toefl
appease,달래다,toefl
apprehension,우려,toefl
arable,경작할 수 있는,toefl
arbitrary,제멋대로인,toefl
archaic,고풍의,toefl
ardent,열렬한,toefl
arid,건조한,toefl
arrogance,거만,toefl
arrogant,거만한,toefl
articulate,명료한,toefl
artifact,인공물,toefl
artisan,장인,toefl
ascendancy,우위,toefl
ascetic,고행의,toefl
aspire,열망하다,toefl
assiduous,끊임없는,toefl
assuage,완화하다,toefl
astute,기민한,toefl
atrophy,쇠약,toefl
audacious,대담한,toefl
augment,증가시키다,toefl
auspicious,길조의,toefl
austere,어만,toefl
authoritarian,권위주의자,toefl
autonomous,자치적인,toefl
avarice,탐욕,toefl
aversion,싫음,toefl
avert,돌리다,toefl
banal,진부한,toefl
baneful,파괴적인,toefl
barren,불모의,toefl
bastion,능보,toefl
bear,지탱하다,toefl
beguile,속이다,toefl
belie,속여 나타내다,toefl
belittle,흠잡다,toefl
belligerent,호전적인,toefl
benefactor,은인,toefl
benevolent,자애로운,toefl
benign,친절한,toefl
bequeath,유언으로 증여하다,toefl
bias,성향,toefl
blasphemy,신성모독,toefl
bleak,황량한,toefl
blighted,마른,toefl
blithe,즐거운,toefl
blueprint,청사진,toefl
bolster,덧베개로 받쳐주다,toefl
braggart,허풍선이,toefl
brawn,근육,toefl
brevity,짧음,toefl
buttress,버팀벽,toefl
cacophonous,귀에 거슬리는,toefl
cajole,구슬리다,toefl
calculated,계산된,toefl
candid,솔직한,toefl
candor,솔직,toefl
capricious,변덕스러운,toefl
cardiologist,심장학자,toefl
carping,트집잡는,toefl
caustic,부식성의,toefl
censorious,지나치게 비판적인,toefl
censure,비난,toefl
certitude,확신,toefl
charlatan,허풍선이 돌팔이 의사,toefl
circumlocution, 완곡어법,toefl
circumspect,신중한,toefl
cliché,판에 박은 문구,toefl
coalesce,유착하다,toefl
coercion,강제,toefl
colloquial,구어체의,toefl
combustible,가연성의,toefl
commemorate, 기념하다,toefl
complacency, 자기 만족,toefl
complacent,자기 만족의,toefl
complementary,서로 보완하는,toefl
compliant,유순한,toefl
composure,침착,toefl
concede,인정하다,toefl
conciliate,달래다,toefl
conciliatory,융화적인,toefl
concise,간결한,toefl
concur,일치하다,toefl
condense,응축하다,toefl
condescend,자기를 낮추다,toefl
condone,용서하다,toefl
confine,제한하다,toefl
conflagration,큰 화재,toefl
confluence,합류,toefl
confound,혼동하다,toefl
congenial,마음이 맞는,toefl
conjecture,짐작,toefl
consolidate,결합하다,toefl
conspicuous,눈에 띄는,toefl
contempt,경멸,toefl
contend,싸우다,toefl
contentious,싸우기 좋아하는,toefl
contrite,죄를 깊이 뉘우치는,toefl
contrive,연구하다,toefl
converge,한 점에 모이다,toefl
conviction,유죄 판결,toefl
cordial,마음에서 우러난,toefl
corroborate,확증하다,toefl
corrode,부식하다,toefl
corrugated,물결 모양의,toefl
corrupt,부정한,toefl
credulity,너무 쉽게 믿는 성질,toefl
credulous,잘 믿는,toefl
criterion,표준,toefl
crucial,결정적인,toefl
cryptic,숨은,toefl
culpable,과실 있는,toefl
cursory,서두르는,toefl
dearth,부족,toefl
debilitate, 약하게 하다,toefl
debunk,정체를 폭로하다,toefl
decorum,단정,toefl
deference,복종,toefl
degradation,좌천,toefl
dehydrate,탈수하다,toefl
deleterious,해로운,toefl
deliberate,신중한,toefl
delineate,윤곽을 드리다,toefl
denounce,비난하다,toefl
deplore,비탄하다,toefl
depose,면직하다,toefl
depravity,타락,toefl
deprecate,반대하다,toefl
deprive,박탈하다,toefl
deride,비웃다,toefl
derivative,끌어낸,toefl
desecrate,신성을 더럽히다,toefl
desiccate,건조시키다,toefl
despondent,의기소침한,toefl
detached,독립된,toefl
deter,단념시키다,toefl
determined,단호한,toefl
deterrent,방해물,toefl
detrimental,해로운,toefl
devious,구불구불한,toefl
devotion,헌신,toefl
didactic,교훈적인,toefl
diffidence,자신이 없음,toefl
diffident,자신 없는 소심한,toefl
diffuse,널리 퍼진,toefl
digress,벗어나다,toefl
digression,본론을 벗어남,toefl
dilatory,느린,toefl
diligence,근면,toefl
diminish,줄이다,toefl
diminution,감소,toefl
discerning,통찰력 있는,toefl
discernment,인식력,toefl
discord,불화,toefl
discordant,일치하지 않는,toefl
discrepancy,불일치,toefl
discriminate,구별하다,toefl
discriminating,구별할 수 있는,toefl
disdain,경멸하다,toefl
disinclination,싫증,toefl
disparage,얕보다,toefl
disparate,본질적으로 다른,toefl
disparity,부동,toefl
dispassionate,냉정한,toefl
disperse,흩어지게 하다,toefl
disputatious,논쟁적인,toefl
disseminate,흩뿌리다,toefl
dissent,의견 차이,toefl
distant,먼,toefl
distend,넓히다,toefl
distinguish,구별하다,toefl
divergent,다른,toefl
divulge,비밀을 누설하다,toefl
docile,다루기 쉬운,toefl
doctrine,주의,toefl
dogmatic,교리상의,toefl
drone,게으름뱅이,toefl
dubious,수상한,toefl
dupe,속이다,toefl
duplicity,표리부동,toefl
durable,영속성 있는,toefl
ebullient,용솟음치는,toefl
eccentric,별난,toefl
eclectic,폭넓은,toefl
edify,신념을 기르다,toefl
efface,지워 없애다,toefl
effectual,효과적인,toefl
effervescence,거품이 남,toefl
effervescent,거품이 나는,toefl
egotistical,자기의 일만 하는,toefl
elaborate,공들인,toefl
elegance,우아,toefl
elegy,애가,toefl
elicit,도출하다,toefl
eloquence,웅변,toefl
elucidate,해명하다,toefl
elusive,붙잡기 어려운,toefl
emaciated,수척한,toefl
embellish,꾸미다,toefl
embrace,껴안다,toefl
emend,교정하다,toefl
emulate,경쟁하다,toefl
endorse,승인하다,toefl
endurance,지구력,toefl
engender,생기게 하다,toefl
enigma,수수께끼,toefl
enlighten,계몽하다,toefl
enmity,적의,toefl
enthrall,마음을 사로잡다,toefl
entice,꾀다,toefl
ephemeral,하루뿐인,toefl
equanimity,평정,toefl
equitable,공평한,toefl
equivocal,불확실한,toefl
eradicate,뿌리째 뽑다,toefl
erratic,산만한,toefl
erroneous,잘못된,toefl
erudite,학식이 있는,toefl
esoteric,난해한,toefl
ethical,윤리적인,toefl
eulogy,찬사,toefl
euphemism,완곡어법,toefl
euphony,듣기 좋은 음조,toefl
evanescent,사라져 가는,toefl
exacerbate,악화시키다,toefl
exalt,높이다,toefl
excerpt,발췌,toefl
execute,실행하다,toefl
exemplary,모범적인,toefl
exemplify,예시하다,toefl
exhaustive,철저한,toefl
exhilarating,기분을 돋우는,toefl
exonerate,해방시키다,toefl
expedient,도움이 되는,toefl
expedite,진척시키다,toefl
explicit,명확한,toefl
expunge,지우다,toefl
extirpate,근절시키다,toefl
extol,크게 칭찬하다,toefl
extraneous,비본질적인,toefl
extreme,극도의,toefl
extricate,구해내다,toefl
exuberance,풍부,toefl
facilitate,용이하게 하다,toefl
fallacious,그릇된,toefl
fallow,묵히고 있는,toefl
falter,움찔하다,toefl
fanaticism,열광,toefl
fanatic,광신자,toefl
fastidious,까다로운,toefl
fathom,추측하다,toefl
feasible,그럴싸한,toefl
fecund,다산의,toefl
feeble,연약한,toefl
fell,잔인한,toefl
fertile,기름진,toefl
fervor,열렬,toefl
fickle,변하기 쉬운,toefl
fitful,변하기 쉬운,toefl
flagrant,명백한,toefl
florid,불그레한,toefl
flourish,번영하다,toefl
flower,꽃이 피다,toefl
fluctuate,오르다,toefl
foliage,잎,toefl
foolhardy,무모한,toefl
fortuitous,뜻밖의,toefl
frivolous,천박한,toefl
frugality,검소,toefl
furtive,은밀한,toefl
garrulous,잘 지껄이는,toefl
gauge,측정하다,toefl
gaunt,몹시 여윈,toefl
glacial,얼음의,toefl
glutton,대식가,toefl
gratify,만족시키다,toefl
gratuitous,무료의,toefl
gravity,중력,toefl
gregarious,떼지어 사는,toefl
guile,교활,toefl
gullible,잘 속는,toefl
hackneyed,낡아 빠진,toefl
hamper,훼방하다,toefl
hangar,격납고,toefl
hardy,단련된,toefl
harsh,엄격한,toefl
hasten,서두르다,toefl
haughtiness,건방짐,toefl
hedonist,쾌락주의자,toefl
hedonistic,쾌락주의의,toefl
heed,주의하다,toefl
heresy,이단,toefl
hierarchy,계층제,toefl
hindrance,방해,toefl
homogeneous,동종의,toefl
hopeless,절망적인,toefl
hue,색조,toefl
humility,겸손,toefl
hyperbole,과장,toefl
hypocrisy,위선,toefl
hypocritical,위선의,toefl
hypothetical,가설의,toefl
iconoclastic,성상 파괴주의의,toefl
idiom,관용구,toefl
idiosyncrasy,특질,toefl
ignominy,면목없음,toefl
illicit,불법의,toefl
illusory,착각을 일으키는,toefl
immutable,불변의,toefl
impair,감하다,toefl
impartial,치우치지 않은,toefl
impeccable,결점이 없는,toefl
impecunious,가난한,toefl
implausible,받아들이기 어려운,toefl
impregnable,난공불락의,toefl
impudence,뻔뻔스러움,toefl
impulsive,충동적인,toefl
inadvertent,우연의,toefl
inadvertently,부주의하게,toefl
inane,얼빠진,toefl
inapt,부적당한,toefl
incessant,끊임없는,toefl
incisive,신랄한,toefl
incite,자극하다,toefl
inclusive,포함한,toefl
incoherent,모순된,toefl
incongruous,일관성이 없는,toefl
inconsequential,중요하지 않은,toefl
incontrovertible,논쟁의 여지가 없는,toefl
incorrigible,구제할 길 없는,toefl
indefatigable,지치지 않는,toefl
indict,기소하다,toefl
indifferent,무관심한,toefl
indigenous,토착의,toefl
indiscriminate,분별없는,toefl
indolence,게으름,toefl
indolent,게으른,toefl
indulgent,멋대로 하게 하는,toefl
ineffable,말로 표현할 수 없는,toefl
inept,부적당한,toefl
inert,둔한,toefl
inevitable,피할 수 없는,toefl
inexorable,냉혹한,toefl
infamous,수치스러운,toefl
ingenious,재간 있는,toefl
inherent,타고난,toefl
inhibit,억제하다,toefl
innocuous,해가 없는,toefl
innovate,혁신하다,toefl
innovation,혁신,toefl
innumerable,무수한,toefl
inquisitive,탐구적인,toefl
insipid,무미건조한,toefl
insolvent,지급 불능의,toefl
inspire,고무하다,toefl
instigate,유발시키다,toefl
insularity,고립,toefl
insuperable,극복하기 어려운,toefl
integrity,고결,toefl
intervene,사이에 들다,toefl
intimidate,겁주다,toefl
intractable,고치기 어려운,toefl
intrepid,용기있는,toefl
intricate,얽힌,toefl
intrinsic,본질적인,toefl
inundate,물에 잠기게 하다,toefl
invert,거꾸로 하다,toefl
irascible,화를 잘 내는,toefl
ironic,반어적인,toefl
irrational,이성을 잃은,toefl
irreproachable,나무랄 데 없는,toefl
isolated,고립된,toefl
jeopardy,위험,toefl
jocular,익살 맞은,toefl
jovial,명랑한,toefl
keen,날카로운,toefl
kindle,불붙이다,toefl
knack,숙련된 기술,toefl
labyrinth,미로,toefl
laconic,간결한,toefl
laggard,느린,toefl
lament,비탄하다,toefl
lampoon,풍자문,toefl
languish,기력이 없어지다,toefl
lassitude,나른함,toefl
laud,칭송하다,toefl
laudable,칭찬할 만한,toefl
lavish,아낌 없는,toefl
lenient,관대한,toefl
lethargic,혼수상태의,toefl
lethargy,무기력,toefl
levity,가벼움,toefl
linger,남아 있다,toefl
listless,나른한,toefl
lithe,잘 휘는,toefl
lofty,매우 높은,toefl
lucid,명쾌한,toefl
lure,마음을 끄는 것,toefl
lurid,선정적인,toefl
luxuriant,무성한,toefl
malice,악의,toefl
malicious,악의 있는,toefl
marred,훼손된,toefl
meager,마른,toefl
meander,굽이쳐 흐르다,toefl
mercenary,보수를 목적으로 하는,toefl
mercurial,변덕스러운,toefl
merger,합병,toefl
methodical,조직적인,toefl
meticulous,꼼꼼한,toefl
mirth,즐거운 웃음 소리,toefl
misanthrope,인간을 혐오하는 사람,toefl
miser,구두쇠,toefl
miserly,인색한,toefl
misnomer,오칭,toefl
mitigate,완화하다,toefl
modest,겸손한,toefl
mollify,누그러뜨리다,toefl
monarch,군주,toefl
monotonous,단조로운,toefl
morose,시무룩한,toefl
mosaic,모자이크,toefl
motive,동기,toefl
mundane,평범한,toefl
munificent,인심 좋은,toefl
nefarious,극악한,toefl
negate,무효로 하다,toefl
negligence,태만,toefl
newfangled,신형의,toefl
nimble,재빠른,toefl
nonchalant,태연한,toefl
nostalgia,향수,toefl
notoriety,악명,toefl
novel,신선한,toefl
novelty,새로움,toefl
novice,풋내기,toefl
nuance,뉘앙스,toefl
nullify,무효로 하다,toefl
nurture,양육하다,toefl
oasis,오아시스,toefl
obdurate,완고한,toefl
objective (adj),객관적인,toefl
objective (n),목적,toefl
obliterate,지우다,toefl
oblivion,망각,toefl
obscure,어두운,toefl
obstinate,고집 센,toefl
odious,싫은,toefl
ominous,불길한,toefl
opacity,불투명,toefl
opaque,불투명한,toefl
opposition,반대,toefl
optimism,낙천주의,toefl
optimist,낙천주의자,toefl
opulence,풍부,toefl
orator,연설자,toefl
ornate,잘 꾸민,toefl
orthodox,정통의,toefl
ostentatious,과시하는,toefl
pacifist,평화주의자,toefl
palatable,입에 맞는,toefl
paltry,하찮은,toefl
paradigm,보기,toefl
pariah,천민,toefl
parody,모방,toefl
parsimony,인색,toefl
partisan,열성적 지지자,toefl
paucity,소수,toefl
peculiar,독특한,toefl
pedestrian (n),보행자,toefl
pedestrian (adj),저속한,toefl
penury,빈궁,toefl
perfunctory,형식적인,toefl
peripheral,주위의,toefl
pernicious,유해한,toefl
perpetuate,영속시키다,toefl
pervasive,퍼지는,toefl
pessimism,비관,toefl
phenomena,현상,toefl
philanthropist,박애가,toefl
philanthropy,박애,toefl
piety,경건,toefl
pious,신앙심 깊은,toefl
pitfall,함정,toefl
pithy,골이 있는,toefl
pivotal,주축의,toefl
placate,달래다,toefl
plausible,그럴듯한,toefl
polemical,논쟁의,toefl
pomposity,거만,toefl
pompous,거만한,toefl
ponder,숙고하다,toefl
ponderous,대단히 무거운,toefl
pragmatic,실용적인,toefl
prattle,혀짤배기 소리,toefl
precarious,불확실한,toefl
preclude,제외하다,toefl
precocious,조숙한,toefl
predator,약탈자,toefl
predecessor,전임자,toefl
predicament,곤경,toefl
preposterous,앞뒤가 바뀐,toefl
presumptuous,주제넘은,toefl
pretentious,자부하는,toefl
prevaricate,얼버무려 넘기다,toefl
primeval,초기의,toefl
proclaim,포고하다,toefl
prodigal,낭비하는,toefl
prodigious,거대한,toefl
profane,모독적인,toefl
profanity,신성모독,toefl
profligate,방탕한,toefl
profound,깊은,toefl
profuse,아낌없는,toefl
profusion,대량,toefl
progressive,전진하는,toefl
proliferate,증식하다,toefl
proliferation,증식,toefl
prolific,아이를 낳는,toefl
prolong,늘이다,toefl
propriety,타당,toefl
prosaic,평범한,toefl
prose,산문,toefl
prosperous,번영하는,toefl
protrude,불쑥 튀어나오다,toefl
provincial,지방의,toefl
provocative,성나게 하는,toefl
prudent,신중한,toefl
prudish,엄격한,toefl
pushover,식은 죽 먹기,toefl
quagmire,곤경,toefl
quandary,곤혹,toefl
quell,억누르다,toefl
querulous,불평을 하는,toefl
quiescent,정지한,toefl
ramble,두서없이 이야기하다,toefl
rancor,깊은 원한,toefl
rant,폭언하다,toefl
ratify,비준하다,toefl
raucous,무질서하고 소란한,toefl
ravenous,탐욕스러운,toefl
raze,지우다,toefl
rebuff,거절하다,toefl
rebuttal,항변,toefl
recalcitrant,반항하는,toefl
recant,바꾸다,toefl
recluse,은둔자,toefl
recount,자세히 이야기 하다,toefl
rectify,개정하다,toefl
redundant,여분의,toefl
reform,개혁하다,toefl
rejuvenate,도로 젊어지게 하다,toefl
relegate,추방하다,toefl
relevant,관련된,toefl
remission,용서,toefl
remorse,후회,toefl
remote,먼,toefl
renounce,포기하다,toefl
repel,격퇴하다,toefl
replete,가득 찬,toefl
repletion,충만,toefl
reprehensible,비난할 만한,toefl
repress,억누르다,toefl
reprimand (v),견책하다,toefl
reprimand (n),견책,toefl
reproach (v),비난하다,toefl
reproach (n),비난,toefl
reprove,꾸짖다,toefl
repudiate,거부하다,toefl
repugnant,비위에 거슬리는,toefl
repulse,격퇴하다,toefl
rescind,폐지하다,toefl
residual,나머지의,toefl
resigned,체념한,toefl
resolute,결연한,toefl
resolution,결심,toefl
resolve (v),결심하다,toefl
resolve (n),결심,toefl
resourceful,꾀바른,toefl
respite,일시적인 중단,toefl
resplendent,반짝반짝 빛나는,toefl
responsive,대답하는,toefl
restraint,제지,toefl
retaliation,보복,toefl
reticence,과묵,toefl
reticent,과묵한,toefl
retract,끌어넣다,toefl
revelation,폭로,toefl
reverent,경건한,toefl
revere,존경하다,toefl
revive,소생하게 하다,toefl
rhetorical,수사적인,toefl
rigidity,견고함,toefl
rigor,엄격함,toefl
rigorous,엄격한,toefl
robust,튼튼한,toefl
rotund,둥근,toefl
ruffle,물결을 일으키다,toefl
rupture,파열,toefl
saccharine,당질의,toefl
sage,현명한,toefl
salutary,유익한,toefl
sanction,재가,toefl
satirical,풍자적인,toefl
saturate,삼투시키다,toefl
savor,맛 보다,toefl
savory,풍미좋은,toefl
scale,비늘을 벗기다,toefl
scanty,부족한,toefl
scrupulous,빈틈없는,toefl
scrutinize,자세히 조사하다,toefl
seclusion,격리,toefl
sedentary,앉은 채 있는,toefl
serene,고요한,toefl
servile,노예의,toefl
severe,엄한,toefl
shrine,성체용기,toefl
sinister,불길한,toefl
skeptic,회의론자,toefl
skeptical,의심 많은,toefl
slander,중상,toefl
slight (adj),약간의,toefl
slight (n),경멸,toefl
sluggard,게으름쟁이,toefl
sluggish,게으름,toefl
sobriety,절제,toefl
solemn,엄숙한,toefl
solicit,간청하다,toefl
solitary,고독한,toefl
somber,어두침침한,toefl
soothe,달래다,toefl
soporific,최면성의,toefl
splinter (n), 가시,toefl
splinter (v),쪼개지다,toefl
spontaneous,자발의,toefl
sporadic,산발적인,toefl
spurious,가짜의,toefl
spurn,퇴짜 놓다,toefl
squander,낭비하다,toefl
stagnation,침체,toefl
stalemate,수의 막힘,toefl
stanza, 연,toefl
static (adj),정적인,toefl
static (n),공전,toefl
steadfast,확고 부동한,toefl
stilts,지주,toefl
stoic,절제하는,toefl
stolid,둔감한,toefl
stratagem,전략,toefl
stratum,층,toefl
strident,귀에 거슬리는,toefl
stringent,엄격한,toefl
strut,뽐내며 걷다,toefl
stupefy,마취시키다,toefl
stupor,무감각,toefl
stymie,방해하다,toefl
subjugate,정복하다,toefl
submissive,순종하는,toefl
subordinate,하위의,toefl
subside,침전하다,toefl
substantiate,실증하다,toefl
subtle,미묘한,toefl
succinct,간결한,toefl
sullen,무뚝뚝한,toefl
summons,소환,toefl
supercilious,거만한,toefl
superficial,표면의,toefl
superfluity,여분,toefl
superfluous,남는,toefl
superlative,최상의,toefl
supplant,밀어내다,toefl
suppress,억압하다,toefl
surfeit (n),과다,toefl
surfeit (v),과식하다,toefl
surmise,추측,toefl
surreptitious,내밀의,toefl
sustain,떠받치다,toefl
swagger,활보하다,toefl
swell,부풀다,toefl
swindler,사기꾼,toefl
sycophant,알랑쇠,toefl
symbolism,상징,toefl
sympathy,동정,toefl
synchronize,같은 시간으로 맞추다,toefl
synopsis,개관,toefl
table,연기하다,toefl
taciturn,말없는,toefl
tailor,짓다,toefl
tangent,탈선,toefl
tangential,규준에서 벗어난,toefl
tangible,실체적인,toefl
tantamount,동등한,toefl
tardy,느린,toefl
tedious,지루한,toefl
temper (n),기질,toefl
temper (v),진정시키다,toefl
temperate,온화한,toefl
tenacious,완강한,toefl
tenacity,고집,toefl
terrestrial,지구상의,toefl
terse,간결한,toefl
theoretical,이론상,toefl
threadbare,초라한,toefl
tightfisted,인색한,toefl
tirade,장광설,toefl
tonic,강장제,toefl
torpor,마비,toefl
torso,몸통,toefl
tragic,비극의,toefl
trait,특색,toefl
tranquil,조용한,toefl
tranquility,고요함,toefl
transcribe,복사하다,toefl
transient,일시적인,toefl
transplant,투명한,toefl
treachery,배반,toefl
trepidation,공포,toefl
trespass,침해하다,toefl
trifling,하찮은,toefl
trite,흔해빠진,toefl
trivial,하찮은,toefl
troupe,일단,toefl
truncate,꼭대기를 자르다,toefl
tumor,종기,toefl
turbulence,교란,toefl
turbulent,몹시 거친,toefl
turmoil,소란,toefl
turpitude,간악,toefl
uncouth,거친,toefl
undermine,토대를 침식하다,toefl
uniform,한결같은,toefl
uniformity,한결같음,toefl
unilateral,일방의,toefl
unkempt,난잡한,toefl
unruly,감당할 수 없는,toefl
unsung,찬미되지 않는,toefl
unwarranted,보증되지 않은,toefl
uphold,떠받치다,toefl
uproar,소란,toefl
usurp,빼앗다,toefl
utter (v),발언하다,toefl
utter (adj),전적인,toefl
vacillate,망설이다,toefl
vague,어렴풋한,toefl
vaporize,증발시키다,toefl
variable (adj),가변적인,toefl
variable (n),변화하기 쉬운 것,toefl
variegated,잡색의,toefl
vehement,격렬한,toefl
venerate,존경하다,toefl
vent (v),구멍을 내다,toefl
vent (n),구멍,toefl
verbose,말이 많은,toefl
verify,입증하다,toefl
vertical,수직의,toefl
vestige,자취,toefl
viable,시행 가능한,toefl
vigor,활기,toefl
vilify,비방하다,toefl
vindicate,입증하다,toefl
vindictive,원한을 품은,toefl
virtuoso (adj),대가의,toefl
virtuoso (n),예술의 거장,toefl
virtuous,덕 있는,toefl
virulent,유독한,toefl
vitality,생명력,toefl
vivid,생생한,toefl
vociferous,소란한,toefl
void (adj),빈,toefl
void (n),공허,toefl
volatile,휘발성의,toefl
volition,의지,toefl
voluble,수다스러운,toefl
voluminous,다작의,toefl
voluntary,자발적인,toefl
vulgarian,속물,toefl
vulnerable,상처입기 쉬운,toefl
wake,항적,toefl
warm,따뜻한,toefl
wary,경계하는,toefl
wayward,제멋대로 하는,toefl
weary (adj),피로한,toefl
weary (v),지치게 하다,toefl
weight,무게,toefl
well-founded,충분한 근거가 있는,toefl
whim,변덕,toefl
whimsical,마음이 잘 변하는,toefl
widespread,널리 보급된,toefl
willful,계획적인,toefl
wince,주춤하다,toefl
zany,어릿광대 같은,toefl
zealous,열심인,toefl
in a matter of,불과 ~ 만에,csat
range,음역,csat
celebrate,축하하다,csat
lodging,숙박,csat
appreciate,감사하다,csat
regards,안부 안부 인사,csat
regret to do,~하게 되어 유감이다,csat
fulfil(l),이행하다,csat
original,원래의,csat
editor,편집자,csat
at length,오랫동안,csat
hesitancy,주저,csat
analytical,분석적인,csat
privileged,영광스러운,csat
association,협회,csat
prestigious,훌륭한,csat
gathering,모임,csat
human resources,인사부,csat
engagement,업무,csat
alternate,대체[대신]할 사람,csat
flashing,번쩍이는,csat
vibrate,진동하다,csat
end table, 작은 탁자,csat
hesitant,머뭇거리는,csat
have over,~으로 초대하다,csat
relief,안도,csat
flood,밀려들다,csat
catch up on, 알아내다,csat
composition,짧은 글,csat
tense,시제,csat
patiently,참을성 있게,csat
forthcoming,곧 오려고 하는,csat
ruddy,붉은,csat
blow away,~을 감동시키다,csat
masterpiece,걸작,csat
self-pity,자기 연민,csat
descend,내려앉다,csat
bloom,한창,csat
manor,저택,csat
sticky-fingered, 손가락이 끈끈한,csat
lengthen,길어지다,csat
wrap,감싸다,csat
disturbance,방해,csat
stripe,줄무늬를 넣다,csat
deckchair,접의자,csat
float,뜨다,csat
petal,꽃잎,csat
overwhelmed, 휩싸인,csat
front office,행정실,csat
pound, 두근거리다,csat
short of breath,숨이 가쁜,csat
dial,전화를 걸다,csat
thrill,전율,csat
genetic,유전적인,csat
obese,비만의,csat
consume,섭취하다,csat
pass on,~을 전달하다,csat
scarce,부족한,csat
reproduce,번식하다,csat
abundant,풍부한,csat
obesity,비만,csat
incorporate, 포함하다,csat
timescale, 기간,csat
mammalian,포유류의,csat
catch up with,~을 따라잡다,csat
precondition,전제 조건,csat
faultless,결점이 없는,csat
ally,협력자,csat
widow,미망인,csat
profession,직업,csat
roam,떠돌다,csat
expel,쫓아내다,csat
suspension,유예,csat
disbelief,불신,csat
put aside,~을 제쳐 두다,csat
contradict,~과 모순되다,csat
elect,당선시키다,csat
spot,발견하다,csat
narrative,이야기,csat
circle,~에 동그라미를 치다,csat
clue,단서,csat
notion,개념,csat
out of date,시대에 뒤떨어진,csat
initiative,주창,csat
take advantage of,~을 활용하다,csat
merely,그저,csat
firm,회사,csat
fixture,고정적인 요소,csat
management board,이사회,csat
causal,원인이 되는,csat
consumer society,소비 사회,csat
a majority of,대다수의,csat
genuine,진정한,csat
well-being,복지,csat
shelter,주거,csat
abundance,풍요,csat
unparalleled,비할 데 없는,csat
per capita income,1인당 소득,csat
triple,3배가 되다,csat
wired,타고나는,csat
urban,도시의,csat
constantly,끊임없이,csat
gain,이득,csat
by a factor of,~ 배로,csat
inbuilt,내재된,csat
mechanism,기제,csat
in a fraction of a second,몇 분의 1초 만에,csat
acknowledge,인지하다,csat
privilege,특전[특권]을 주다,csat
tendency,성향,csat
overweight,지나치게 중시하다,csat
overestimate,과대평가하다,csat
lottery,복권,csat
insofar as,~하는 한은,csat
responsibly,책임감 있게,csat
existence,존재,csat
loving,애정 어린,csat
confine oneself to,~에 국한하다,csat
experiment,실험,csat
symphony,교향곡,csat
